,byline,headline
81,,"Review: In ‘Suited,’ Searching for Clothes That Truly Fit"
82,,"Anton Yelchin, ‘Star Trek’ Actor, Dies at 27"
83,,Personal Health: No Such Thing as a Healthy Smoker
84,,Food Banks Take on a Contributor to Diabetes: Themselves
85,,4 Roller Coasters That Put the Theme in Theme Park
86,,Carry-On: What David Sedaris Can’t Travel Without
87,,"Books of The Times: Review: Natashia Deón’s ‘Grace,’ a Tale of Slavery, Its Ghosts and Legacy"
88,,Nonfiction: Susan Faludi’s ‘In the Darkroom’
89,,"An Expensive Law Degree, and No Place to Use It"
90,,"Race/Related: Moving to Make Amends, Georgetown President Meets With Descendant of Slaves"
91,,"City Kitchen: A Creamy, Sweet Tribute to Summer"
92,,"A Good Appetite: Hot Honey Shrimp Is Spicy, Sweet and Speedy"
93,,Opinion: Donald Trump’s Place
94,,Editorial: Heading Off the Next Extremist
95,,Checklist for Winning a Bidding War
96,,"What I Love: John Leguizamo’s Walls May Talk, but They Don’t Criticize"
97,,"The 2016 Race: Yes, Political Ads Are Still Important, Even for Donald Trump"
98,,"The New Health Care: Why You Should Exercise (No, Not to Lose Weight)"
99,,Feature: Can Netflix Survive in the New World It Created?
100,,Notebook: Why ‘Transcending Race’ Is a Lie
101,,Driven: Mazda’s CX-9: A Crossover That’s a Treat for Parents
102,,Wheels: Skeptics of Self-Driving Cars Span Generations
103,,15 Minutes With Ai Weiwei
104,,Men’s Fashion Shows: Raf Simons in Florence
105,,"Tune In to The Times: The Times on the Air: Terrorism, Trump and Trolls"
106,,Looking Back: 1948-2016 | A Times Art Treasure Comes to an Omaha Library
107,By LISA PREVOST,Checklist for Winning a Bidding War
108,,Search for Homes for Sale or Rent
109,,Sell Your Home
110,By JOANNE KAUFMAN,"John Leguizamo’s Walls May Talk, but They Don’t Criticize"
